stitch_id_flat,drug_name,n_neuro_pt,neurotoxic,pubchem_cid,smiles,inchikey
CID100000271,calcium,6,1,271,[Ca+2],BHPQYMZQTOCNFJ-UHFFFAOYSA-N
CID100000297,graphene,0,0,297,C,VNWKTOKETHGBQD-UHFFFAOYSA-N
CID100000298,chloramphenicol,3,1,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],WIIZWVCIJKGZOK-UHFFFAOYSA-N
CID100000303,bile,1,1,303,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,BHQCQFFYRZLCQQ-UHFFFAOYSA-N
CID100000305,choline,0,0,305,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N
CID100000311,citric,2,1,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,KRKNYBCHXYNGOX-UHFFFAOYSA-N
CID100000312,chloride,0,0,312,[Cl-],VEXZGXHMUGYJMC-UHFFFAOYSA-M
CID100000338,salicylate,1,1,338,C1=CC=C(C(=C1)C(=O)O)O,YGSDEFSMJLZEOE-UHFFFAOYSA-N
CID100000401,D-cycloserine,6,1,401,C1C(C(=O)NO1)N,DYDCUQKUCUHJBH-UHFFFAOYSA-N
CID100000444,bupropion,21,1,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N
CID100000450,estradiol,12,1,450,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,VOXZDWNPVJITMN-UHFFFAOYSA-N
CID100000453,mannitol,1,1,453,C(C(C(C(C(CO)O)O)O)O)O,FBPFZTCFMRRESA-UHFFFAOYSA-N
CID100000564,EACA,5,1,564,C(CCC(=O)O)CCN,SLXKOJJOQWFEFD-UHFFFAOYSA-N
CID100000581,N-acetylcysteine,2,1,581,CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-UHFFFAOYSA-N
CID100000596,cytarabine,15,1,596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,UHDGCWIWMRVCDJ-UHFFFAOYSA-N
CID100000598,mesna,3,1,598,C(CS(=O)(=O)O)S,ZNEWHQLOPFWXOF-UHFFFAOYSA-N
CID100000612,lactate,0,0,612,CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N
CID100000679,DMSO,0,0,679,CS(=O)C,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
CID100000681,dopamine,0,0,681,C1=CC(=C(C=C1CCN)O)O,VYFYYTLLBUKUHU-UHFFFAOYSA-N
CID100000698,estrone,2,1,698,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,DNXHEGUUPJUMQT-UHFFFAOYSA-N
CID100000699,Oestrogen,3,1,699,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,JKKFKPJIXZFSSB-UHFFFAOYSA-N
CID100000700,monoethanolamine,0,0,700,C(CO)N,HZAXFHJVJLSVMW-UHFFFAOYSA-N
CID100000727,lindane,2,1,727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N
CID100000738,glutamine,1,1,738,C(CC(=O)N)C(C(=O)O)N,ZDXPYRJPNDTMRX-UHFFFAOYSA-N
CID100000750,glycine,3,1,750,C(C(=O)O)N,DHMQDGOQFOQNFH-UHFFFAOYSA-N
CID100000753,glycerol,2,1,753,C(C(CO)O)O,PEDCQBHIVMGVHV-UHFFFAOYSA-N
CID100000767,bicarbonate,2,1,767,C(=O)(O)O,BVKZGUZCCUSVTD-UHFFFAOYSA-N
CID100000772,LMWH,1,1,772,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,HTTJABKRGRZYRN-UHFFFAOYSA-N
CID100000774,histamine,1,1,774,C1=C(NC=N1)CCN,NTYJJOPFIAHURM-UHFFFAOYSA-N
CID100000785,quinol,0,0,785,C1=CC(=CC=C1O)O,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
CID100000813,potassium,2,1,813,[K+],NPYPAHLBTDXSSS-UHFFFAOYSA-N
CID100000815,kanamycin,2,1,815,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,SBUJHOSQTJFQJX-UHFFFAOYSA-N
CID100000838,epinephrine,2,1,838,CNCC(C1=CC(=C(C=C1)O)O)O,UCTWMZQNUQWSLP-UHFFFAOYSA-N
CID100000853,thyroxine,4,1,853,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,XUIIKFGFIJCVMT-UHFFFAOYSA-N
CID100000861,triiodothyronine,0,0,861,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,AUYYCJSJGJYCDS-UHFFFAOYSA-N
CID100000888,magnesium,0,0,888,[Mg+2],JLVVSXFLKOJNIY-UHFFFAOYSA-N
CID100000896,melatonin,4,1,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,DRLFMBDRBRZALE-UHFFFAOYSA-N
CID100000923,sodium,4,1,923,[Na+],FKNQFGJONOIPTF-UHFFFAOYSA-N
CID100000937,niacin,3,1,937,C1=CC(=CN=C1)C(=O)[O-],PVNIIMVLHYAWGP-UHFFFAOYSA-M
CID100000942,nicotine,8,1,942,CN1CCCC1C2=CN=CC=C2,SNICXCGAKADSCV-UHFFFAOYSA-N
CID100000946,nitrite,3,1,946,N(=O)[O-],IOVCWXUNBOPUCH-UHFFFAOYSA-M
CID100000948,nitrous,3,1,948,[N-]=[N+]=O,GQPLMRYTRLFLPF-UHFFFAOYSA-N
CID100000951,norepinephrine,0,0,951,C1=CC(=C(C=C1C(CN)O)O)O,SFLSHLFXELFNJZ-UHFFFAOYSA-N
CID100000961,hydroxyl,0,0,961,[OH-],XLYOFNOQVPJJNP-UHFFFAOYSA-M
CID100001003,phosphate,3,1,1003,OP(=O)(O)[O-],NBIIXXVUZAFLBC-UHFFFAOYSA-M
CID100001046,pyrazinamide,0,0,1046,C1=CN=C(C=N1)C(=O)N,IPEHBUMCGVEMRF-UHFFFAOYSA-N
CID100001054,pyridoxine,2,1,1054,CC1=NC=C(C(=C1O)CO)CO,LXNHXLLTXMVWPM-UHFFFAOYSA-N
CID100001065,quinidine,9,1,1065,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,LOUPRKONTZGTKE-UHFFFAOYSA-N
CID100001071,retinol,0,0,1071,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,FPIPGXGPPPQFEQ-UHFFFAOYSA-N
CID100001084,thiosulfate,0,0,1084,[O-]S(=O)(=S)[O-],DHCDFWKWKRSZHF-UHFFFAOYSA-L
CID100001125,tetrahydrobiopterin,1,1,1125,CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O,FNKQXYHWGSIFBK-UHFFFAOYSA-N
CID100001130,thiamine,0,0,1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,JZRWCGZRTZMZEH-UHFFFAOYSA-N
CID100001134,thymidine,2,1,1134,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,IQFYYKKMVGJFEH-UHFFFAOYSA-N
CID100001206,methamphetamine,1,1,1206,CC(CC1=CC=CC=C1)NC,MYWUZJCMWCOHBA-UHFFFAOYSA-N
CID100001301,naproxen,13,1,1301,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],CDBRNDSHEYLDJV-UHFFFAOYSA-M
CID100001546,cladribine,7,1,1546,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,PTOAARAWEBMLNO-UHFFFAOYSA-N
CID100001690,doxorubicin,15,1,1690,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)[NH3+])O,AOJJSUZBOXZQNB-UHFFFAOYSA-O
CID100001727,4-AP,4,1,1727,C1=CN=CC=C1N,NUKYPUAOHBNCPY-UHFFFAOYSA-N
CID100001775,phenytoin,20,1,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,CXOFVDLJLONNDW-UHFFFAOYSA-N
CID100001798,methazolamide,3,1,1798,CC(=O)NC1=[N+](N=C(S1)S(=O)(=O)N)C,FLOSMHQXBMRNHR-UHFFFAOYSA-O
CID100001805,5-azacytidine,6,1,1805,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,NMUSYJAQQFHJEW-UHFFFAOYSA-N
CID100001875,methylprednisolone,5,1,1875,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CCC(=O)O)O,IMBXEJJVJRTNOW-UHFFFAOYSA-N
CID100001971,abacavir,4,1,1971,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,MCGSCOLBFJQGHM-UHFFFAOYSA-N
CID100001972,amphotericin,11,1,1972,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,APKFDSVGJQXUKY-UHFFFAOYSA-N
CID100001978,acebutolol,5,1,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,GOEMGAFJFRBGGG-UHFFFAOYSA-N
CID100001983,acetaminophen,7,1,1983,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N
CID100001986,acetazolamide,4,1,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N
CID100001990,acetohydroxamic,1,1,1990,CC(=O)NO,RRUDCFGSUDOHDG-UHFFFAOYSA-N
CID100001993,methacholine,2,1,1993,CC(C[N+](C)(C)C)OC(=O)C,NZWOPGCLSHLLPA-UHFFFAOYSA-N
CID100002019,actinomycin,0,0,2019,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,RJURFGZVJUQBHK-UHFFFAOYSA-N
CID100002021,spectinomycin,0,0,2021,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O,UNFWWIHTNXNPBV-UHFFFAOYSA-N
CID100002022,acyclovir,8,1,2022,C1=NC2=C(N1COCCO)NC(=NC2=O)N,MKUXAQIIEYXACX-UHFFFAOYSA-N
CID100002082,albendazole,0,0,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,HXHWSAZORRCQMX-UHFFFAOYSA-N
CID100002083,salbutamol,7,1,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,NDAUXUAQIAJITI-UHFFFAOYSA-N
CID100002085,Almeta,0,0,2085,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC,DJHCCTTVDRAMEH-UHFFFAOYSA-N
CID100002088,alendronate,0,0,2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,OGSPWJRAVKPPFI-UHFFFAOYSA-N
CID100002092,alfuzosin,4,1,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,WNMJYKCGWZFFKR-UHFFFAOYSA-N
CID100002094,allopurinol,11,1,2094,C1=C2C(=NC=NC2=O)NN1,OFCNXPDARWKPPY-UHFFFAOYSA-N
CID100002099,alosetron,4,1,2099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,JSWZEAMFRNKZNL-UHFFFAOYSA-N
CID100002118,alprazolam,13,1,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,VREFGVBLTWBCJP-UHFFFAOYSA-N
CID100002123,hexamethylmelamine,4,1,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,UUVWYPNAQBNQJQ-UHFFFAOYSA-N
CID100002130,amantadine,9,1,2130,C1C2CC3CC1CC(C2)(C3)N,DKNWSYNQZKUICI-UHFFFAOYSA-N
CID100002133,amcinonide,0,0,2133,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,ILKJAFIWWBXGDU-UHFFFAOYSA-N
CID100002140,diatrizoate,7,1,2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,YVPYQUNUQOZFHG-UHFFFAOYSA-N
CID100002141,amifostine,3,1,2141,C(CN)CNCCSP(=O)(O)O,JKOQGQFVAUAYPM-UHFFFAOYSA-N
CID100002142,amikacin,2,1,2142,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,LKCWBDHBTVXHDL-UHFFFAOYSA-N
CID100002145,aminoglutethimide,0,0,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,ROBVIMPUHSLWNV-UHFFFAOYSA-N
CID100002148,p-aminohippurate,1,1,2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N,HSMNQINEKMPTIC-UHFFFAOYSA-N
CID100002153,theophylline,5,1,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
CID100002156,amiodarone,13,1,2156,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I,IYIKLHRQXLHMJQ-UHFFFAOYSA-O
CID100002159,amisulpride,7,1,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,NTJOBXMMWNYJFB-UHFFFAOYSA-N
CID100002160,amitriptyline,12,1,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N
CID100002161,amlexanox,1,1,2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,SGRYPYWGNKJSDL-UHFFFAOYSA-N
CID100002162,amlodipine,7,1,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,HTIQEAQVCYTUBX-UHFFFAOYSA-N
CID100002163,amobarbital,4,1,2163,CCC1(C(=O)NC(=O)N=C1[O-])CCC(C)C,VIROVYVQCGLCII-UHFFFAOYSA-M
CID100002168,amorolfine,0,0,2168,CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C,MQHLMHIZUIDKOO-UHFFFAOYSA-N
CID100002170,amoxapine,8,1,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,QWGDMFLQWFTERH-UHFFFAOYSA-N
CID100002171,amoxicillin,5,1,2171,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,LSQZJLSUYDQPKJ-UHFFFAOYSA-N
CID100002173,ampicillin,0,0,2173,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C,AVKUERGKIZMTKX-UHFFFAOYSA-M
CID100002177,amprenavir,3,1,2177,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,YMARZQAQMVYCKC-UHFFFAOYSA-N
CID100002179,amsacrine,3,1,2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,XCPGHVQEEXUHNC-UHFFFAOYSA-N
CID100002182,anagrelide,6,1,2182,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,OTBXOEAOVRKTNQ-UHFFFAOYSA-N
CID100002187,anastrozole,3,1,2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,YBBLVLTVTVSKRW-UHFFFAOYSA-N
CID100002215,apomorphine,5,1,2215,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,VMWNQDUVQKEIOC-UHFFFAOYSA-N
CID100002216,apraclonidine,2,1,2216,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,IEJXVRYNEISIKR-UHFFFAOYSA-N
CID100002232,argatroban,1,1,2232,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,KXNPVXPOPUZYGB-UHFFFAOYSA-N
CID100002244,aspirin,5,1,2244,CC(=O)OC1=CC=CC=C1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
CID100002249,atenolol,6,1,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,METKIMKYRPQLGS-UHFFFAOYSA-N
CID100002250,atorvastatin,9,1,2250,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,XUKUURHRXDUEBC-UHFFFAOYSA-N
CID100002265,azathioprine,1,1,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],LMEKQMALGUDUQG-UHFFFAOYSA-N
CID100002266,azelaic,1,1,2266,C(CCCC(=O)O)CCCC(=O)O,BDJRBEYXGGNYIS-UHFFFAOYSA-N
CID100002267,azelastine,2,1,2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,MBUVEWMHONZEQD-UHFFFAOYSA-N
CID100002269,azithromycin,4,1,2269,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,MQTOSJVFKKJCRP-UHFFFAOYSA-N
CID100002274,aztreonam,3,1,2274,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,WZPBZJONDBGPKJ-UHFFFAOYSA-N
CID100002284,baclofen,14,1,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,KPYSYYIEGFHWSV-UHFFFAOYSA-N
CID100002307,beclomethasone,0,0,2307,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC,KUVIULQEHSCUHY-UHFFFAOYSA-N
CID100002308,beclomethasone,0,0,2308,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,NBMKJKDGKREAPL-UHFFFAOYSA-N
CID100002311,benazepril,3,1,2311,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,XPCFTKFZXHTYIP-UHFFFAOYSA-N
CID100002315,bendrofluazide,1,1,2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,HDWIHXWEUNVBIY-UHFFFAOYSA-N
CID100002337,benzocaine,0,0,2337,CCOC(=O)C1=CC=C(C=C1)N,BLFLLBZGZJTVJG-UHFFFAOYSA-N
CID100002341,benzphetamine,1,1,2341,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,YXKTVDFXDRQTKV-UHFFFAOYSA-N
CID100002344,benztropine,2,1,2344,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,GIJXKZJWITVLHI-UHFFFAOYSA-N
CID100002345,benzyl,0,0,2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,SESFRYSPDFLNCH-UHFFFAOYSA-N
CID100002349,penicillin,7,1,2349,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,JGSARLDLIJGVTE-UHFFFAOYSA-N
CID100002350,bepotastine,0,0,2350,C1CN(CCC1OC(C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O,YWGDOWXRIALTES-UHFFFAOYSA-N
CID100002351,bepridil,4,1,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,UIEATEWHFDRYRU-UHFFFAOYSA-N
CID100002366,betahistine,2,1,2366,CNCCC1=CC=CC=N1,UUQMNUMQCIQDMZ-UHFFFAOYSA-N
CID100002367,dexamethasone,5,1,2367,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,VQODGRNSFPNSQE-UHFFFAOYSA-N
CID100002369,betaxolol,9,1,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,NWIUTZDMDHAVTP-UHFFFAOYSA-N
CID100002370,bethanechol,1,1,2370,CC(C[N+](C)(C)C)OC(=O)N,NZUPCNDJBJXXRF-UHFFFAOYSA-O
CID100002375,bicalutamide,6,1,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,LKJPYSCBVHEWIU-UHFFFAOYSA-N
CID100002391,bisacodyl,3,1,2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,KHOITXIGCFIULA-UHFFFAOYSA-N
CID100002405,bisoprolol,8,1,2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,VHYCDWMUTMEGQY-UHFFFAOYSA-N
CID100002431,bretylium,3,1,2431,CC[N+](C)(C)CC1=CC=CC=C1Br,AAQOQKQBGPPFNS-UHFFFAOYSA-N
CID100002435,brimonidine,4,1,2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,XYLJNLCSTIOKRM-UHFFFAOYSA-N
CID100002441,bromazepam,5,1,2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,VMIYHDSEFNYJSL-UHFFFAOYSA-N
CID100002442,bromhexine,0,0,2442,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2,OJGDCBLYJGHCIH-UHFFFAOYSA-N
CID100002443,bromocriptine,11,1,2443,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,OZVBMTJYIDMWIL-UHFFFAOYSA-N
CID100002462,budesonide,6,1,2462,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,VOVIALXJUBGFJZ-UHFFFAOYSA-N
CID100002471,bumetanide,1,1,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,MAEIEVLCKWDQJH-UHFFFAOYSA-N
CID100002474,bupivacaine,11,1,2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,LEBVLXFERQHONN-UHFFFAOYSA-N
CID100002476,buprenorphine,8,1,2476,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,RMRJXGBAOAMLHD-UHFFFAOYSA-N
CID100002477,buspirone,13,1,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,QWCRAEMEVRGPNT-UHFFFAOYSA-N
CID100002478,busulfan,5,1,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,COVZYZSDYWQREU-UHFFFAOYSA-N
CID100002479,butabarbital,4,1,2479,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,ZRIHAIZYIMGOAB-UHFFFAOYSA-N
CID100002484,butenafine,0,0,2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,ABJKWBDEJIDSJZ-UHFFFAOYSA-N
CID100002487,butorphanol,8,1,2487,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,IFKLAQQSCNILHL-UHFFFAOYSA-N
CID100002512,cabergoline,5,1,2512,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,KORNTPPJEAJQIU-UHFFFAOYSA-N
